"id","name","active","regNumber","route","category","status","profile","oldGenericRule"
"1","Acantan HTZ 8-12.5","Candesartan + hydrochlorothiazid","VD-30299-18","Uống","Tim mạch","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","antihypertensive_raas_ccb_beta"
"2","Aciclovir 5%","Acyclovir","VD-18434-13","Dùng ngoài","Kháng sinh / kháng nấm / kháng virus","Đã có hồ sơ xác minh theo hoạt chất/SĐK","aciclovir_cream_5","acyclovir"
"3","Aclasta 5mg","Zoledronic acid","VN-21917-19","Truyền tĩnh mạch","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","bisphosphonate_zoledronic"
"4","Actrapid","Insulin analog tác dụng nhanh, ngắn (Aspart, Lispro, Glulisine)","QLSP-1029-17","Tiêm","Nội tiết - chuyển hóa","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","insulin"
"5","Acupan (22)DV","Nefopam hydroclorid","VN-18589-15","Tiêm","Giảm đau - kháng viêm","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","opioid_nefopam"
"6","Acyclovir 3% SYT-25","Aciclovir","893110161724","Tra mắt","Kháng sinh / kháng nấm / kháng virus","Đã có hồ sơ xác minh theo hoạt chất/SĐK","aciclovir_eye_3","acyclovir"
"7","Ad - Liver","Cỏ nhọ nồi, Diệp hạ châu, Nhân trần","VD-31287-18","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","herbal_probiotic_supplement"
"8","Adrenalin DV24","Epinephrin (adrenalin)","893110172024","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","emergency_critical"
"9","Agilecox 200","Celecoxib","VD-25523-16","Uống","Giảm đau - kháng viêm","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","nsaid"
"10","Đại tràng - HD","Bạch thược, Bạch truật, Cam thảo, Hoàng liên, Kha tử, Mộc hương","VD-27232-17","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","herbal_probiotic_supplement"
"11","Đại tràng hoàn P/H","Bạch linh, Bạch thược, Bạch truật, Cam thảo, Đảng sâm, Hoài sơn, Hoàng Đằng, Hoàng liên, Mộc hương, Sa nhân, Trần bì","VD-25946-16","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","herbal_probiotic_supplement"
"12","Albuman 20% 200g/l","Albumin","870410036023","Tiêm truyền","Dịch truyền - điện giải - dinh dưỡng","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","electrolyte_fluid"
"13","Alcaine 0.5%","Proparacain hydroclorid","VN-21093-18","Nhỏ mắt","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","local_anesthetic"
"14","Alpha - choay","Alphachymotrypsin","893110342224","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","herbal_probiotic_supplement"
"15","Alsiful S.R.Tablets 10mg","Alfuzosin","VN-22539-20","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","urology_alpha_blocker"
"16","Am-broxol SYT-25","Ambroxol hydroclorid","893100276200","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","mucolytic_antitussive"
